Age,Gender,Occupation,Budget,Educational Qualifications,Attendees,Pin code,Output,Feedback,
20,Female,Student,No Income,Post Graduate,4,560001,Yes,Positive,Yes
24,Female,Student,Below Rs.10000,Graduate,3,560009,Yes,Positive,Yes
22,Male,Student,Below Rs.10000,Post Graduate,3,560017,Yes,Negative ,Yes
22,Female,Student,No Income,Graduate,6,560019,Yes,Positive,Yes
22,Male,Student,Below Rs.10000,Post Graduate,4,560010,Yes,Positive,Yes
27,Female,Employee,More than 50000,Post Graduate,2,560103,Yes,Positive,Yes
22,Male,Student,No Income,Graduate,3,560009,Yes,Positive,Yes
24,Female,Student,No Income,Post Graduate,3,560042,Yes,Positive,Yes
23,Female,Student,No Income,Post Graduate,2,560001,Yes,Positive,Yes
23,Female,Student,No Income,Post Graduate,4,560048,Yes,Positive,Yes
22,Female,Student,No Income,Post Graduate,5,560010,Yes,Positive,Yes
23,Male,Student,Below Rs.10000,Post Graduate,2,560009,Yes,Negative ,Yes
23,Male,Student,No Income,Post Graduate,5,560078,Yes,Positive,Yes
21,Male,Student,No Income,Graduate,4,560009,Yes,Positive,Yes
23,Female,Self Employeed,10001 to 25000,Post Graduate,5,560004,Yes,Positive,Yes
24,Female,Student,No Income,Post Graduate,6,560068,Yes,Positive,Yes
28,Female,Employee,25001 to 50000,Post Graduate,2,560038,Yes,Positive,Yes
23,Female,Student,No Income,Graduate,3,560008,Yes,Negative ,Yes
25,Male,Student,No Income,Graduate,4,560078,Yes,Negative ,Yes
21,Female,Student,Below Rs.10000,Post Graduate,1,560038,Yes,Positive,Yes
24,Male,Student,No Income,Post Graduate,3,560009,Yes,Positive,Yes
22,Male,Student,No Income,Post Graduate,4,560032,Yes,Positive,Yes
22,Female,Student,No Income,Graduate,4,560033,Yes,Positive,Yes
23,Male,Student,No Income,Graduate,4,560021,Yes,Positive,Yes
21,Male,Student,Below Rs.10000,Post Graduate,3,560085,Yes,Positive,Yes
25,Male,Student,No Income,Post Graduate,3,560008,Yes,Positive,Yes
22,Female,Student,No Income,Post Graduate,5,560050,Yes,Positive,Yes
22,Male,Student,No Income,Post Graduate,3,560098,Yes,Positive,Yes
23,Female,Employee,10001 to 25000,Graduate,3,560048,Yes,Positive,Yes
22,Male,Student,Below Rs.10000,Post Graduate,4,560003,Yes,Positive,Yes
